Site,Date,LE_pixel (W/m²)_ICOS,ET_pixel (mm/h)_ICOS,Rn (W/m²)_ICOS,Ta (°C)_ICOS,u (m/s)_ICOS,LE_pixel (W/m²)_ERA5,ET_pixel (mm/h)_ERA5,Rn (W/m²)_ERA5,Ta (°C)_ERA5,u (m/s)_ERA5,LE_pixel (W/m²)_ERA5_DS,ET_pixel (mm/h)_ERA5_DS,Rn (W/m²),Ta (°C)_ERA5_DS,u (m/s)
Voulundgaard,2022-05-12,0.0,0.0,596.2,14.33,6.0,0.0,0.0,388.4,13.09,4.91,0.0,0.0,388.4,13.11,4.91
Voulundgaard,2022-05-20,33.31,0.0489,513.0,16.64,3.29,0.0,0.0,412.0,14.65,2.04,0.0,0.0,412.0,14.59,2.04
Voulundgaard,2022-06-04,0.0,0.0,369.3,15.42,1.62,0.0,0.0,504.8,16.12,0.99,0.0,0.0,504.8,16.06,0.99
Voulundgaard,2022-06-05,145.8,0.2142,555.2,18.87,2.22,60.73,0.0892,512.4,17.89,0.56,59.63,0.0876,512.4,17.81,0.56
Voulundgaard,2022-06-20,232.11,0.3411,568.1,15.16,1.85,65.96,0.0969,391.5,14.48,1.93,70.8,0.104,391.5,14.65,1.93
Voulundgaard,2022-08-16,,,472.1,26.42,2.41,,,171.1,21.06,2.45,,,171.1,21.17,2.45
Voulundgaard,2022-08-31,251.93,0.3702,394.2,19.66,3.02,161.45,0.2372,373.8,17.69,2.98,163.75,0.2406,373.8,17.79,2.98
Voulundgaard,2022-09-01,,,487.6,21.14,2.12,,,358.4,17.89,1.66,,,358.4,17.93,1.66
Voulundgaard,2022-09-17,168.58,0.2477,257.8,16.12,4.15,6.36,0.0093,153.2,13.64,1.98,5.48,0.008,153.2,13.6,1.98
Voulundgaard,2022-09-25,,,311.8,15.34,1.7,,,240.6,12.8,1.0,,,240.6,12.91,1.0
Voulundgaard,2022-10-02,12.38,0.0182,207.7,14.98,4.84,17.13,0.0252,208.4,13.67,4.19,19.37,0.0285,208.4,13.76,4.19
Voulundgaard,2022-10-03,108.02,0.1587,300.6,15.56,5.95,51.38,0.0755,215.3,14.3,4.23,53.23,0.0782,215.3,14.37,4.23
Voulundgaard,2022-10-10,200.95,0.2953,210.3,13.22,4.47,124.42,0.1828,207.8,11.69,3.6,127.64,0.1875,207.8,11.8,3.6
Voulundgaard,2022-10-11,116.75,0.1715,289.0,13.01,4.93,9.66,0.0142,175.4,12.21,4.97,13.22,0.0194,175.4,12.31,4.97
Voulundgaard,2022-10-19,96.92,0.1424,212.0,11.08,2.67,0.0,0.0,172.7,9.3,1.1,0.0,0.0,172.7,9.34,1.1
Voulundgaard,2023-03-03,29.5,0.0433,182.4,4.29,1.74,31.06,0.0456,191.6,5.14,1.83,33.14,0.0487,191.6,5.23,1.83
Voulundgaard,2023-04-20,0.0,0.0,427.6,14.86,6.06,0.0,0.0,443.2,11.7,4.41,0.0,0.0,443.2,11.69,4.41
Voulundgaard,2023-04-21,0.0,0.0,434.8,16.41,5.19,10.8,0.0159,442.6,14.02,3.29,11.59,0.017,442.6,14.09,3.29
Voulundgaard,2023-05-07,,,450.1,13.45,5.24,,,455.9,12.44,4.85,,,455.9,12.52,4.85
Voulundgaard,2023-05-30,109.07,0.1603,508.8,18.73,2.68,36.43,0.0535,483.4,17.39,1.2,35.37,0.052,483.4,17.36,1.2
Voulundgaard,2023-05-31,87.75,0.1289,551.3,15.56,5.55,212.28,0.3119,516.7,15.51,4.67,203.54,0.2991,516.7,15.31,4.67
Voulundgaard,2023-06-07,195.99,0.288,539.4,18.29,1.01,140.2,0.206,512.5,18.14,0.64,136.85,0.2011,512.5,18.05,0.64
Voulundgaard,2023-06-08,158.32,0.2326,539.0,19.7,2.77,95.52,0.1404,513.0,18.44,2.34,86.67,0.1273,513.0,18.19,2.34
Voulundgaard,2023-07-09,443.89,0.6523,567.9,24.99,3.41,355.58,0.5225,503.6,23.68,2.97,361.11,0.5306,503.6,23.85,2.97
Voulundgaard,2023-09-04,129.84,0.1908,425.5,22.58,3.9,91.19,0.134,375.2,20.33,3.13,90.94,0.1336,375.2,20.31,3.13
Voulundgaard,2023-10-14,0.0,0.0,126.8,8.56,5.58,126.01,0.1852,179.2,10.8,6.99,127.73,0.1877,179.2,10.84,6.99
