Site,Date,Source_Meteo,Ta (°C),u (m/s),Rn (W/m²),T_s_max (°C),T_c_max (°C),LST_pixel (°C),Ts_pixel (°C),Tc_pixel (°C),fc_pixel,LE_pixel (W/m²),ET_pixel (mm/h),EF_pixel,ET_moy_carte (mm/h),LE_moy_carte (W/m²),LST_ICOS (°C),LE_pure_ICOS (W/m²),ET_pure_ICOS (mm/h)
Grignon,2023-06-05,ICOS,21.36,3.07,525.2,37.41,29.69,27.61000061035156,31.42,26.58,0.7879999876022339,188.62,0.2772,0.353,0.1341,91.3,24.672974,310.7897519607676,0.45667065594235234
Grignon,2023-06-21,ICOS,23.96,1.67,380.3,38.9,31.93,30.5,31.42,27.93,0.2639999985694885,146.24,0.2149,0.429,0.1606,109.3,27.938446,199.91558331294416,0.29375351017412205
Grignon,2023-06-28,ICOS,22.95,1.77,457.6,42.18,33.86,35.189998626708984,35.99,30.35,0.1420000046491623,116.49,0.1712,0.329,0.2148,146.2,32.211304,160.99512450697227,0.23656426458167354
Grignon,2023-09-24,ICOS,17.52,4.41,398.5,28.47,22.28,19.350000381469727,20.99,19.03,0.8370000123977661,277.06,0.4071,0.656,0.3245,220.8,20.100555,198.46223396276477,0.2916179764350829
Grignon,2023-10-10,ICOS,23.52,2.18,298.7,34.49,29.24,19.96999931335449,19.97,19.97,0.7950000166893005,332.35,0.4883,1.0,0.3939,268.1,23.978851,247.47672593604338,0.36363927076316577
Grignon,2023-10-27,ICOS,13.73,4.65,289.8,21.05,16.81,14.289999961853027,14.72,14.15,0.7480000257492065,284.28,0.4177,0.813,0.3203,218.0,15.060883,172.10694831378956,0.2528918424202622
Grignon,2023-12-06,ICOS,4.13,1.47,147.9,10.93,7.13,6.610000133514404,7.38,5.57,0.4230000078678131,77.45,0.1138,0.429,0.1041,70.8,6.2390137,70.00829434643762,0.10286933046823488
Lamasquere,2022-02-10,ICOS,9.08,0.95,242.3,20.77,14.08,13.989999771118164,16.95,12.45,0.6570000052452087,67.15,0.0987,0.369,0.1139,77.5,10.320831,170.33869404344642,0.2502935912475131
Lamasquere,2022-04-07,ICOS,10.82,4.95,430.2,20.75,15.11,16.18000030517578,20.98,15.35,0.8510000109672546,0.0,0.0,0.0,0.0091,6.2,16.149292,0.0,0.0
Lamasquere,2022-05-01,ICOS,10.23,2.9,513.5,25.33,17.74,21.450000762939453,28.4,20.8,0.9160000085830688,0.0,0.0,0.0,0.002,1.4,15.999847,138.58624467913427,0.20363693095709526
Lamasquere,2022-05-10,ICOS,18.69,2.07,592.8,38.17,28.8,25.01000022888184,29.52,24.31,0.8650000095367432,241.92,0.3555,0.444,0.1189,80.9,24.657257,256.31464904515775,0.37662560676023177
Lamasquere,2022-05-18,ICOS,18.73,1.46,604.9,41.07,30.06,26.049999237060547,31.22,25.06,0.8389999866485596,248.58,0.3653,0.427,0.1436,97.7,28.599182,134.60185574123852,0.19778231864018722
Lamasquere,2022-06-03,ICOS,21.43,2.79,614.1,39.17,30.59,40.650001525878906,44.55,35.97,0.4550000131130218,0.0,0.0,0.0,0.0,0.0,30.424255,173.11801465779152,0.2543774909257345
Lamasquere,2022-06-11,ICOS,22.51,2.34,639.2,41.44,32.75,37.86000061035156,39.91,31.92,0.2569999992847442,36.97,0.0543,0.07,0.0107,7.3,32.92697,181.05116781796167,0.26603436903863753
Lamasquere,2022-06-18,ICOS,27.41,4.64,589.5,41.08,33.88,42.83000183105469,44.37,37.17,0.2150000035762787,0.0,0.0,0.0,0.0004,0.2,37.033203,90.16329511692044,0.13248484180445452
Lamasquere,2022-07-13,ICOS,26.27,1.46,510.8,47.02,37.09,48.61000061035156,50.07,40.15,0.1469999998807907,0.0,0.0,0.0,0.0153,10.4,42.01007,68.05796673699433,0.10000354296048147
Lamasquere,2022-07-29,ICOS,15.03,1.45,389.2,29.04,22.49,28.540000915527344,29.77,23.21,0.1870000064373016,0.0,0.0,0.0,0.0015,1.0,21.498383,141.24925976664076,0.2075499327183293
Lamasquere,2022-08-29,ICOS,23.81,2.66,367.4,37.65,30.89,34.91999816894531,35.6,29.84,0.1180000007152557,40.55,0.0596,0.138,0.1099,74.8,36.77011,1.6587681388682025,0.0024373735918063384
Lamasquere,2022-09-30,ICOS,9.48,3.46,514.2,22.64,15.84,19.96999931335449,20.28,14.7,0.0549999997019767,61.0,0.0896,0.14,0.0193,13.1,15.823639,181.24945542616362,0.266325730422118
Lamasquere,2022-10-16,ICOS,17.03,5.56,354.7,25.27,20.51,30.5,30.69,25.93,0.0390000008046627,0.0,0.0,0.0,0.0,0.0,25.572418,0.0,0.0
Lamasquere,2022-10-25,ICOS,15.1,2.41,261.0,25.3,20.1,27.780000686645508,27.97,22.77,0.0379999987781047,0.0,0.0,0.0,0.0004,0.2,23.165802,35.12402789543452,0.05161081649941399
Lamasquere,2022-12-19,ICOS,9.34,4.35,170.4,14.21,11.28,9.34000015258789,9.34,9.34,0.449999988079071,151.07,0.222,0.951,0.2109,143.5,11.536438,52.288720250974166,0.07683240526673754
Lamasquere,2023-02-13,ICOS,4.28,3.56,253.6,12.99,8.08,12.789999961853027,17.22,12.32,0.9039999842643738,0.0,0.0,0.0,0.0007,0.5,8.36908,9.969564698540706,0.014649156291733282
Lamasquere,2023-02-14,ICOS,5.08,4.81,245.1,11.95,7.93,13.40999984741211,17.06,13.03,0.906000018119812,0.0,0.0,0.0,0.0001,0.0,9.304443,0.0,0.0
Lamasquere,2023-03-01,ICOS,-0.66,3.5,320.5,10.31,4.27,9.760000228881836,15.28,9.24,0.912999987602234,0.0,0.0,0.0,0.0008,0.5,5.8572693,0.0,0.0
Lamasquere,2023-04-18,ICOS,13.75,1.85,467.7,30.55,22.42,32.099998474121094,33.42,25.29,0.163000002503395,0.0,0.0,0.0,0.0471,32.1,25.122192,90.29232102981005,0.13267443090094538
Lamasquere,2023-04-19,ICOS,14.0,3.73,527.0,28.42,20.63,31.850000381469727,33.14,25.35,0.1669999957084655,0.0,0.0,0.0,0.0014,0.9,25.483551,47.91181047619892,0.07040102763849637
Lamasquere,2023-05-04,ICOS,18.6,1.57,558.8,38.73,29.13,37.400001525878906,40.55,30.95,0.328000009059906,0.0,0.0,0.0,0.1064,72.4,30.685455,124.35953764841504,0.1827323818507323
Lamasquere,2023-05-28,ICOS,23.6,1.35,563.9,44.18,34.46,40.52000045776367,44.91,35.19,0.4519999921321869,0.0,0.0,0.0,0.1403,95.5,34.3573,152.2177685261342,0.22366692518125839
Lamasquere,2023-05-29,ICOS,20.37,1.74,575.0,40.11,31.08,40.41999816894531,44.09,35.06,0.4070000052452087,0.0,0.0,0.0,0.029,19.8,31.915283,128.255979600283,0.188457765943273
Lamasquere,2023-06-05,ICOS,20.67,1.16,492.9,38.28,30.26,40.88999938964844,44.24,36.21,0.4169999957084656,0.0,0.0,0.0,0.0156,10.6,31.228638,101.8908132367683,0.14971711332749627
Lamasquere,2023-07-07,ICOS,19.98,4.02,640.1,35.38,27.01,32.209999084472656,38.49,30.12,0.7509999871253967,0.0,0.0,0.0,0.0862,58.7,27.299957,110.29450416370163,0.1620653938731942
Lamasquere,2023-07-08,ICOS,21.5,2.23,658.6,41.41,31.67,38.209999084472656,45.84,36.1,0.7829999923706055,0.0,0.0,0.0,0.0004,0.3,28.061401,271.48910382132914,0.3989227647986877
Lamasquere,2023-07-16,ICOS,18.29,1.61,625.0,38.81,28.91,32.40999984741211,40.09,30.19,0.7749999761581421,0.0,0.0,0.0,0.0035,2.4,25.370667,247.5788186443549,0.3637892845386439
Lamasquere,2023-07-23,ICOS,19.87,2.01,589.0,39.31,29.97,34.290000915527344,41.86,32.52,0.8109999895095825,0.0,0.0,0.0,0.0001,0.1,26.842865,216.9486174208358,0.31878164192449343
Lamasquere,2023-07-31,ICOS,16.87,2.12,592.9,36.57,27.1,32.459999084472656,39.86,30.39,0.7820000052452087,0.0,0.0,0.0,0.0001,0.1,25.221893,168.1891619515104,0.24713509511242346
Lamasquere,2023-08-08,ICOS,18.87,1.37,561.8,39.56,29.62,34.709999084472656,42.11,32.17,0.7450000047683716,0.0,0.0,0.0,0.001,0.7,27.225159,182.0955672470841,0.2675689967712256
Lamasquere,2023-08-09,ICOS,20.59,2.14,559.5,38.93,30.53,37.16999816894531,43.55,35.15,0.7590000033378601,0.0,0.0,0.0,0.0004,0.3,29.973663,105.92513110215663,0.1556450905990873
Lamasquere,2023-09-01,ICOS,18.52,3.35,464.2,33.46,25.88,40.040000915527344,40.6,33.01,0.0729999989271164,0.0,0.0,0.0,0.0001,0.0,33.838135,0.0,0.0
Lamasquere,2023-09-09,ICOS,20.07,3.72,425.8,33.54,26.68,43.220001220703125,43.85,36.98,0.090999998152256,0.0,0.0,0.0,0.0,0.0,35.92874,0.0,0.0
Lamasquere,2023-09-10,ICOS,21.78,1.72,412.0,39.25,31.42,48.91999816894531,49.68,41.85,0.0979999974370002,0.0,0.0,0.0,0.0,0.0,38.25125,4.058308055399456,0.0059632281630359356
Lamasquere,2023-09-18,ICOS,18.81,1.06,445.7,36.45,27.48,32.11000061035156,33.19,25.88,0.1480000019073486,57.12,0.0839,0.181,0.0633,43.0,27.095856,158.82723513844712,0.23337879448914678
Lamasquere,2023-09-25,ICOS,17.42,1.35,394.3,34.87,26.81,36.91999816894531,38.28,30.22,0.1689999997615814,0.0,0.0,0.0,0.0032,2.2,32.288544,21.80919847017779,0.03204616918066941
Lamasquere,2023-09-26,ICOS,19.65,1.6,388.9,35.77,28.58,37.65999984741211,38.79,31.6,0.1580000072717666,0.0,0.0,0.0,0.0064,4.4,32.284454,44.32489866847466,0.06513046334959542
Lamasquere,2023-10-04,ICOS,15.96,2.36,366.0,29.6,23.29,30.690000534057617,31.71,25.4,0.1609999984502792,0.0,0.0,0.0,0.0043,3.0,30.723846,0.0,0.0
Lamasquere,2023-10-11,ICOS,18.4,1.92,333.0,32.35,25.71,36.58000183105469,37.62,30.98,0.1570000052452087,0.0,0.0,0.0,0.0,0.0,31.055115,4.731487583822057,0.006952389919085472
Lamasquere,2023-10-12,ICOS,18.43,2.2,337.3,31.67,25.14,35.310001373291016,36.1,29.57,0.1220000013709068,0.0,0.0,0.0,0.0,0.0,30.448547,8.259917515340994,0.012137021655194931
Lamasquere,2023-11-13,ICOS,13.91,1.03,287.8,26.05,19.23,19.75,20.04,16.59,0.0850000008940696,90.5,0.133,0.534,0.1317,89.6,15.832092,169.7695391127679,0.24945728196161812
Lamasquere,2023-12-30,ICOS,7.63,1.09,207.9,17.02,11.62,12.800000190734863,14.25,10.44,0.3810000121593475,42.76,0.0628,0.302,0.0543,37.0,9.476074,122.26358999702892,0.17965262203645066
