TIMESTAMP,LW_IN_Consolide,LW_OUT_Consolide,LST_Calculee
2019-09-03 10:30:00,409.05,421.2,20.473114
2019-09-04 10:30:00,398.31,445.35,24.710846
2019-09-05 10:30:00,386.76,399.19,16.56311
2019-09-06 10:30:00,367.95,421.06,20.594238
2019-09-07 10:30:00,377.97,419.35,20.254547
2019-09-08 10:30:00,386.52,397.99,16.341705
2019-09-09 10:30:00,366.24,420.28,20.461761
2019-09-10 10:30:00,373.92,431.11,22.34137
2019-09-12 10:30:00,421.91,439.49,23.626892
2019-09-13 10:30:00,410.24,410.97,18.633484
2019-09-14 10:30:00,379.44,436.03,23.176514
2019-09-15 10:30:00,395.83,451.64,25.784332
2019-09-16 10:30:00,411.56,431.12,22.211761
2019-09-18 10:30:00,375.03,419.75,20.336243
2019-09-19 10:30:00,375.73,424.48,21.171997
2019-09-20 10:30:00,361.45,422.75,20.916779
2019-09-21 10:30:00,378.09,440.75,23.993927
2019-09-22 10:30:00,420.26,469.74,28.707367
2019-09-23 10:30:00,392.44,427.64,21.669403
2019-09-24 10:30:00,393.04,422.93,20.836823
2019-09-25 10:30:00,397.87,419.45,20.201447
2019-09-26 10:30:00,404.47,409.77,18.43686
2019-09-27 10:30:00,377.16,414.56,19.400482
2019-09-28 10:30:00,395.13,416.51,19.685883
2019-09-29 10:30:00,399.72,407.72,18.08142
2019-09-30 10:30:00,384.68,406.48,17.910187
2019-10-02 10:30:00,369.11,396.19,16.072083
2019-10-03 10:30:00,375.7,388.09,14.528931
2019-10-04 10:30:00,385.78,382.87,13.498871
2019-10-05 10:30:00,360.4,381.12,13.261261
2019-10-06 10:30:00,360.33,360.39,9.206512
2019-10-07 10:30:00,357.17,385.54,14.116211
2019-10-08 10:30:00,392.1,390.5,14.92157
2019-10-09 10:30:00,370.95,388.73,14.667725
2019-10-10 10:30:00,359.79,390.96,15.129547
2019-10-11 10:30:00,385.4,392.24,15.273621
2019-10-12 10:30:00,380.23,419.03,20.189453
2019-10-13 10:30:00,420.06,427.89,21.616302
2019-10-14 10:30:00,399.53,414.75,19.354218
2019-10-15 10:30:00,406.46,413.08,19.028503
2019-10-16 10:30:00,383.35,390.1,14.879242
2019-10-17 10:30:00,398.34,401.77,16.996643
2019-10-18 10:30:00,367.87,377.8,12.594543
2019-10-19 10:30:00,387.19,392.01,15.223785
2019-10-20 10:30:00,381.2,380.45,13.05307
2019-10-21 10:30:00,380.23,410.2,18.602722
2019-10-22 10:30:00,366.94,390.94,15.098938
2019-10-23 10:30:00,366.0,389.66,14.861725
2019-10-24 10:30:00,409.09,415.86,19.519257
2019-10-25 10:30:00,359.28,398.51,16.53897
2019-10-26 10:30:00,376.37,416.42,19.736969
2019-10-27 10:30:00,365.46,374.27,11.920746
2019-10-28 10:30:00,339.43,390.83,15.18158
2019-10-29 10:30:00,323.34,374.03,12.037659
2019-10-30 10:30:00,321.76,348.94,7.047577
2019-10-31 10:30:00,301.71,350.09,7.364258
2019-11-01 10:30:00,358.74,357.67,8.667694
2019-11-02 10:30:00,368.04,395.34,15.917877
2019-11-03 10:30:00,373.43,386.19,14.177826
2019-11-04 10:30:00,365.53,376.16,12.286804
2019-11-05 10:30:00,359.0,387.92,14.559937
2019-11-07 10:30:00,356.19,360.13,9.171082
2019-11-08 10:30:00,339.13,365.55,10.315979
2019-11-09 10:30:00,340.88,354.9,8.181427
2019-11-10 10:30:00,295.43,342.31,5.7908936
2019-11-12 10:30:00,342.14,347.41,6.6504517
2019-11-13 10:30:00,346.82,354.65,8.106873
2019-11-14 10:30:00,327.28,348.46,6.926758
2019-11-15 10:30:00,326.58,342.42,5.6844788
2019-11-16 10:30:00,315.23,358.47,9.002808
2019-11-17 10:30:00,319.12,328.15,2.706543
2019-11-18 10:30:00,349.04,343.65,5.8463745
2019-11-19 10:30:00,345.08,344.84,6.1089478
2019-11-20 10:30:00,298.85,341.4,5.5878296
2019-11-21 10:30:00,308.46,328.14,2.7500916
2019-11-22 10:30:00,316.4,351.99,7.6910706
2019-11-23 10:30:00,343.72,350.63,7.3030396
2019-11-24 10:30:00,337.83,370.21,11.237122
2019-11-25 10:30:00,357.71,377.41,12.558502
2019-11-26 10:30:00,369.99,374.92,12.029327
2019-11-27 10:30:00,359.1,371.17,11.341644
2019-11-28 10:30:00,362.68,364.91,10.096283
2019-11-29 10:30:00,316.38,352.86,7.8677063
2019-11-30 10:30:00,301.43,343.3,5.971039
2019-12-01 10:30:00,311.93,328.63,2.840149
2019-12-02 10:30:00,325.56,340.39,5.2664795
2019-12-03 10:30:00,350.27,364.36,10.036499
2019-12-04 10:30:00,313.17,329.71,3.0657043
2019-12-05 10:30:00,299.47,337.06,4.679199
2019-12-06 10:30:00,353.04,348.61,6.8519287
2019-12-07 10:30:00,357.79,362.99,9.734833
2019-12-08 10:30:00,368.54,368.95,10.8697815
2019-12-09 10:30:00,350.8,355.82,8.327118
2019-12-10 10:30:00,310.84,343.39,5.9507446
2019-12-11 10:30:00,346.99,345.6,6.257965
2019-12-12 10:30:00,300.37,345.29,6.3862305
2019-12-13 10:30:00,348.49,345.26,6.18161
2019-12-14 10:30:00,329.22,342.6,5.7108765
2019-12-15 10:30:00,314.14,353.98,8.103546
2019-12-16 10:30:00,355.95,352.86,7.707123
2019-12-17 10:30:00,370.07,382.26,13.442352
2019-12-18 10:30:00,322.7,362.5,9.7769165
