date,temperature_C
2022-03-23,39.85
2022-03-28,-14.15
2022-04-17,10.85
2022-06-06,-18.15
2022-08-10,2.85
2022-08-25,5.85
2025-03-02,34.85
2025-03-07,45.85
2025-03-27,49.85
2025-04-01,39.85
2025-04-06,45.85
2025-04-11,8.85
2025-05-01,7.85
2025-05-13,-18.15
2025-05-16,54.85
2025-06-12,41.85
2025-06-25,31.85
2025-08-14,20.85
2025-08-19,-2.15
2025-09-18,34.85
