date,temperature_C
2022-02-25,-19.15
2022-03-22,27.85
2022-04-11,55.85
2022-05-09,39.85
2022-05-11,56.85
2022-05-14,25.85
2022-07-05,7.85
2022-07-25,29.85
2022-07-28,51.85
2022-08-14,46.85
2022-08-22,15.85
2022-09-21,39.85
2022-10-06,48.85
2022-10-11,12.85
