Site,Date,NDVI,SAVI,ET_PT_ICOS (mm/h),ET_PT_ERA5 (mm/h),ET_TTME_ICOS (mm/h)
Gebesee,2022-02-07,0.6141973667889357,0.3323563442496149,0.037333866954945484,0.05633519464947585,0.0
Gebesee,2022-02-23,0.559046720538168,0.1643645631497278,0.07286383854224444,0.09318267702161258,0.2008
Gebesee,2022-03-11,0.5489246075104951,0.3377733610134705,0.05003507574536079,0.10345557639174716,0.0
Gebesee,2022-04-28,0.7960834117090294,0.5432533637114334,0.24854086280777,0.3410412638509152,0.1263
Gebesee,2022-05-06,0.8755828843412502,0.5948117388307127,0.3403385690085269,0.3997694643392464,0.347
Gebesee,2022-05-14,0.8325041649910955,0.5810971208597321,0.4259457241056198,0.4239048720253191,0.2117
Gebesee,2022-05-22,0.8692653117911207,0.6427071897446558,0.49483620595102673,0.3887751936508747,0.3454
Gebesee,2022-06-15,0.8399967342106739,0.6235873334158308,0.5806416531069821,0.3940519180438356,0.4428
Gebesee,2022-07-25,0.2765027322404371,0.19868851177995125,0.1052875855545777,0.11646366902695116,0.4317
Gebesee,2022-08-02,0.2306169381332779,0.18552821930003519,0.2235168176975775,0.2754932800333226,0.0
Gebesee,2022-08-10,0.2293879405635195,0.18362700316869648,0.1066521770740643,0.13954212654837145,0.0
Gebesee,2022-09-03,0.22819342528089637,0.17954012167376318,0.0669136388386989,0.16544501684155627,0.0
Gebesee,2022-10-05,0.3854041755065647,0.22783648195048659,0.22769198724390374,0.1990409200238036,0.0776
Gebesee,2022-11-06,0.5276192229791934,0.2785464325059944,0.17464809527556546,0.10181960032976946,0.1318
Selhausen,2022-01-28,0.24287658906859233,0.11015884975199344,0.16605264389119595,0.04931543682502756,0.2078
Selhausen,2022-02-28,0.1680717661811517,0.08606711232588005,0.25394115831950836,0.12075012405894711,0.4131
Selhausen,2022-03-08,0.1301364414913644,0.09473363202849361,0.14681650856559236,0.12400968173357259,0.3327
Selhausen,2022-03-24,0.14335256094955603,0.10785549987165842,0.08962024958892564,0.20127323209816458,
Selhausen,2022-04-17,0.15177550019844502,0.11772481981818833,0.12363130183212442,0.2111270822398251,0.2071
Selhausen,2022-04-18,0.1483081227594648,0.11868731632224651,0.08902622686758953,0.18106561972134824,0.2159
Selhausen,2022-05-03,0.2213532091510193,0.14780573873046612,0.1976689490476163,0.24868852318365522,0.0409
Selhausen,2022-05-11,0.16732704533673362,0.11452072000065253,0.30093406503491826,0.30731129688687087,0.0022
Selhausen,2022-05-12,0.1968137799971697,0.1468133878929854,0.2335381236855113,0.19926643201795538,0.1027
Selhausen,2022-05-19,0.22360734301047577,0.16853488163825778,0.20413033350364196,0.273760038793649,
Selhausen,2022-06-04,0.34696514019367714,0.2559374666470149,0.40339390048637863,0.3514753014464172,0.3624
Selhausen,2022-06-12,0.6524381805988737,0.47404649819792405,0.47441835088799006,0.3976829891657439,0.4338
