Site,Date,ET_pure_ICOS,ET_LST_Landsat,ET_Groupe_ERA5
Gebesee,2022-02-07,0.0,0.0,0.0
Gebesee,2022-02-23,0.0,0.0,0.0
Gebesee,2022-03-11,0.0,0.0,0.0
Gebesee,2022-04-28,0.0,0.024725368385043175,0.0
Gebesee,2022-05-06,0.0951702304717989,0.17466976370423953,0.04245063411152036
Gebesee,2022-05-14,0.0,0.013324149316841784,0.0
Gebesee,2022-05-22,0.1754698485596466,0.3537727639282643,0.1212520317500311
Gebesee,2022-06-15,0.3296128904363325,0.20659215364837455,0.3845002255728353
Gebesee,2022-07-25,0.0253637472342526,0.26603986485071535,0.1454366746961007
Gebesee,2022-08-02,0.0,0.0,0.0
Gebesee,2022-08-10,0.0,0.0,0.004219973638305607
Gebesee,2022-09-03,0.0,0.0,0.0
Gebesee,2022-10-05,0.0,0.012008110678649079,0.017411930707007247
Gebesee,2022-11-06,0.1074680245129629,0.011161344499443431,0.008443321976290654
Selhausen,2022-01-28,0.2228001127766888,0.0,0.0
Selhausen,2022-02-28,0.4060953698139287,0.1411098585687122,0.24746772091266495
Selhausen,2022-03-08,0.3438202619577194,0.04585377442030849,0.15780474443009704
Selhausen,2022-04-17,0.3966955379363236,0.04451993465971697,0.257013233238885
Selhausen,2022-04-18,0.4036193215651173,0.11226888318582803,0.24019062255319726
Selhausen,2022-05-03,0.3094944879400811,0.10147069090827826,0.18799012357779363
Selhausen,2022-05-11,0.330428955364542,0.0036541761243553397,0.17699006027320155
Selhausen,2022-05-12,0.3214188790834322,0.0,0.04627437616332902
Selhausen,2022-06-04,0.4171542766841601,0.04853541898716865,0.24169860452635647
Selhausen,2022-06-12,0.5920260804914996,0.3058991787331013,0.3019096172892532
Selhausen,2022-06-28,0.6314879392747175,0.2819841946132918,0.28253566039626393
Selhausen,2022-07-23,0.6332711028701882,0.04783255104163402,0.37771863449233783
Selhausen,2022-07-30,0.5561654664006981,0.02585710263375845,0.2840935476988859
Selhausen,2022-08-07,0.647106169708792,0.13897455158727406,0.3108547061736685
Selhausen,2022-08-16,0.5591745926392574,0.3284897231616843,0.3469618309954534
Selhausen,2022-09-01,0.5935383008061207,0.14109075486441275,0.3028252615529086
Selhausen,2023-02-07,0.2414296365068188,0.07778386567452605,0.1029980833243698
Selhausen,2023-02-08,0.2837546859104927,0.05491194240196644,0.18197607289243103
Selhausen,2023-04-04,0.4589501468249682,0.11668263428922707,0.2822993246701137
Selhausen,2023-04-05,0.4871839119553825,0.12511332627160074,0.2837895321675245
Selhausen,2023-04-28,0.2069324700337968,0.09017753616577438,0.10579951369715451
Selhausen,2023-05-14,0.6652851072364139,0.5382317290164579,0.502813023296358
Selhausen,2023-05-30,0.6367031806381028,0.6803486196665489,0.3526980927104955
Selhausen,2023-05-31,0.7013452377750564,0.33339316851750256,0.37583870123887275
Selhausen,2023-06-15,0.7040197600667232,0.28070231622126407,0.367227244484951
