Site,Date,ET_pure_ICOS,ET_Ta_ERA5,ET_LST_Landsat,ET_u_ERA5,ET_Rn_ERA5
Gebesee,2022-02-07,0.0,0.0,0.0,0.0,0.0
Gebesee,2022-02-23,0.0,0.0,0.0,0.0,0.0
Gebesee,2022-03-11,0.0,0.0,0.0,0.0,0.0
Gebesee,2022-04-28,0.0,0.0,0.024725368385043175,0.0,0.0
Gebesee,2022-05-06,0.0951702304717989,0.0,0.17466976370423953,0.0,0.0
Gebesee,2022-05-14,0.0,0.0,0.013324149316841784,0.0,0.0
Gebesee,2022-05-22,0.1754698485596466,0.20254419770339627,0.3537727639282643,0.20467804074934007,0.10781831735194314
Gebesee,2022-06-15,0.3296128904363325,0.24727793120623162,0.20659215364837455,0.09317231291034998,0.2256888263630605
Gebesee,2022-07-25,0.0253637472342526,0.0,0.26603986485071535,0.04977117704759146,0.020206636145937984
Gebesee,2022-08-02,0.0,0.0,0.0,0.0,0.0
Gebesee,2022-08-10,0.0,0.0,0.0,0.0,0.0
Gebesee,2022-09-03,0.0,0.0,0.0,0.0,0.0
Gebesee,2022-10-05,0.0,0.02255230928929571,0.012008110678649079,0.0,0.015011045119686189
Gebesee,2022-11-06,0.1074680245129629,0.023947593220801464,0.011161344499443431,0.004760724860627923,0.017542251419201207
Selhausen,2022-01-28,0.2228001127766888,0.0,0.0,0.0,0.0
Selhausen,2022-02-28,0.4060953698139287,0.2513327406682222,0.1411098585687122,0.19736578290646187,0.1470217959907723
Selhausen,2022-03-08,0.3438202619577194,0.13301920169240602,0.04585377442030849,0.12330042893563962,0.040502216711042455
Selhausen,2022-04-17,0.3966955379363236,0.18415005118531083,0.04451993465971697,0.27706046089368463,0.14506417490905282
Selhausen,2022-04-18,0.4036193215651173,0.22819577959421822,0.11226888318582803,0.246385467693567,0.17880336376053035
Selhausen,2022-05-03,0.3094944879400811,0.2384008336274426,0.10147069090827826,0.22538717334267214,0.1752407992388236
Selhausen,2022-05-11,0.330428955364542,0.19014464747585044,0.0036541761243553397,0.20224713103734066,0.14919321110281256
Selhausen,2022-05-12,0.3214188790834322,0.03210449897520257,0.0,0.031665114268139866,0.046114713764407136
Selhausen,2022-06-04,0.4171542766841601,0.09304047674078317,0.04853541898716865,0.0336833778614733,0.1738707999493547
Selhausen,2022-06-12,0.5920260804914996,0.37065863167255375,0.3058991787331013,0.3681551625830368,0.29942407718910435
Selhausen,2022-06-28,0.6314879392747175,0.33462955533677624,0.2819841946132918,0.3424921469761142,0.2903248194330001
Selhausen,2022-07-23,0.6332711028701882,0.27964524298971466,0.04783255104163402,0.174461844988693,0.2699825554081475
Selhausen,2022-07-30,0.5561654664006981,0.34159906940598417,0.02585710263375845,0.24762163865609071,0.1915077478872881
Selhausen,2022-08-07,0.647106169708792,0.33587681328436736,0.13897455158727406,0.342979792260121,0.31792248888880004
Selhausen,2022-08-16,0.5591745926392574,0.325592889847406,0.3284897231616843,0.24901215029530452,0.26995162360246366
Selhausen,2022-09-01,0.5935383008061207,0.3218153343442038,0.14109075486441275,0.27364489601813824,0.2665900967171466
Selhausen,2023-02-07,0.2414296365068188,0.10828020848109485,0.07778386567452605,0.03227962085695028,0.026347514331298644
Selhausen,2023-02-08,0.2837546859104927,0.18106858669684445,0.05491194240196644,0.010195467820557223,0.0
Selhausen,2023-04-04,0.4589501468249682,0.2376878275975003,0.11668263428922707,0.2955911368154632,0.16934938473964592
Selhausen,2023-04-05,0.4871839119553825,0.30589484711356574,0.12511332627160074,0.19826214525303645,0.1754192202553653
Selhausen,2023-04-28,0.2069324700337968,0.012876234484606203,0.09017753616577438,0.0,0.027264090581670425
Selhausen,2023-05-14,0.6652851072364139,0.5600453071972682,0.5382317290164579,0.4808344244364632,0.4233987980794421
Selhausen,2023-05-30,0.6367031806381028,0.3961126527152627,0.6803486196665489,0.3381368330279322,0.320765116193102
Selhausen,2023-05-31,0.7013452377750564,0.4245932559351358,0.33339316851750256,0.3417018921613377,0.3135278889781646
Selhausen,2023-06-15,0.7040197600667232,0.45559321541607967,0.28070231622126407,0.4100943178622314,0.3220251110198369
Selhausen,2023-06-16,0.6678217526894851,0.4146233243235657,0.33929620577153585,0.38751541970813513,0.34069505617488544
Selhausen,2023-06-23,0.6927157975989983,0.430146623079901,0.3877524099669867,0.4322486766075211,0.2487647387639335
Selhausen,2023-07-09,0.5651222774400793,0.29695119316925955,0.6386574586014708,0.3312547647109917,0.29516910619780895
Selhausen,2023-09-11,0.3348286417193347,0.1709546206518115,0.035360639424642494,0.16545685569989613,0.14595439646813255
Selhausen,2023-10-06,0.3614431264662346,0.18083840469332052,0.1547839285938101,0.16642153401290685,0.1287692628624565
Selhausen,2023-10-13,0.4223049474471929,0.0,0.15735124152464605,0.0,0.11478367609078953
Lonzee,2022-02-11,0.1725703120923616,0.0,0.0,0.0,0.0
Lonzee,2022-02-12,0.2662835358207566,0.09146382794562911,0.0,0.00852515549364762,0.11539341590336477
Lonzee,2022-03-08,0.3077082177022274,0.11067524456379053,0.039287811906298355,0.035713995550463014,0.07430869153772388
Lonzee,2022-03-23,0.2746978125532204,0.09570415994339339,0.026566949691461172,0.04006552185099735,0.09745985715593143
Lonzee,2022-03-24,0.3001630052659745,0.11165113427772859,0.009708863846557244,0.013564018775924393,0.08997396778842759
Lonzee,2022-04-09,0.2451515147510045,0.12299153992305141,0.0,0.12636929257617988,0.09138864400807414
Lonzee,2022-04-17,0.4598965865416938,0.13257599775123505,0.0010515468654611678,0.19065120331199614,0.11195146420330004
Lonzee,2022-04-24,0.3729402960692193,0.1808803301106098,0.0,0.0932251042698898,0.11988678018077088
Lonzee,2022-05-03,0.5025552925612942,0.24188613491454042,0.0,0.2494237783415337,0.07348143475199675
Lonzee,2022-05-18,0.7154735066862439,0.25963381917518413,0.018756001187313506,0.24654536991313275,0.2155805818851924
Lonzee,2022-06-11,0.6335060976141421,0.2023285015972205,0.05689454568497472,0.19261505965126452,0.24802510886759543
Lonzee,2022-07-13,0.5522911979697714,0.2461931814132264,0.06224987700348643,0.3125964747585552,0.25192097486104426
Lonzee,2022-07-29,0.2275459432492525,0.07097723272538418,0.0,0.052775620040253636,0.118346429976421
Lonzee,2022-08-06,0.1782687007543287,0.07379597239744115,0.0,0.12860274447053127,0.06482347553391331
Lonzee,2022-08-14,0.1633424442387105,0.0,0.015898059123739615,0.0,0.08157344106153779
Lonzee,2022-10-01,0.3242757234470585,0.08093755220390629,0.0,0.07137272568862384,0.10839043746496921
Lonzee,2022-11-02,0.1646678054697291,0.0,0.0,0.0,0.0
Lonzee,2022-11-10,0.2068975778565654,0.0,0.0,0.0,0.0
Lonzee,2022-12-12,0.185225241142722,0.09913903567814944,0.028220524342702263,0.041949697735884126,0.002704679923849487
Lonzee,2023-02-07,0.2431208034192,0.07800907274407147,0.013725128745886966,0.03227964156995185,0.06287656498760089
Lonzee,2023-02-14,0.2288784659212248,0.065602823860275,0.0,0.0,0.05710959839492358
Lonzee,2023-04-03,0.3787304232218889,0.23840118242284472,0.15475435112994199,0.20986884312827903,0.21161292483215385
Lonzee,2023-04-04,0.3773008687328379,0.20661529787040667,0.14185935670553523,0.20868751701984783,0.2601241047564551
Lonzee,2023-06-06,0.1372401855387225,0.0363083925682773,0.0,0.0,0.03653459537453469
Lonzee,2023-06-07,0.0965956900739126,0.0,0.0,0.027063045979441126,0.0
Lonzee,2023-06-14,0.3349300686163066,0.30726976065763156,0.26124022202832975,0.23301616031931857,0.309013228127345
Lonzee,2023-07-08,0.6728879127483925,0.37781598041731956,0.33873819968027735,0.3411079477820457,0.40372692436653884
Lonzee,2023-09-10,0.3367429345787338,0.1768325453924753,0.05684193223018108,0.15661826597174738,0.23152585603489712
Voulundgaard,2022-02-28,0.2714706479893983,0.10521085959342077,0.0940693233057558,0.09916846480332245,0.1380108290901699
Voulundgaard,2022-03-08,0.1829118655215487,0.0,0.0,0.0,0.049177806880598834
Voulundgaard,2022-03-24,0.2834927406441366,0.08401034048884894,0.0,0.08127375476349949,0.1282978381699551
Voulundgaard,2022-04-17,0.2250529906745247,0.06724595483246774,0.0,0.08865502975310223,0.11441316662603215
Voulundgaard,2022-04-18,0.1777879872303031,0.0,0.0,0.11016974236889607,0.01954470267003906
Voulundgaard,2022-05-12,0.1853788055651778,0.0,0.0,0.008434911863855997,0.0
Voulundgaard,2022-05-20,0.1209432260511864,0.0,0.0,0.0,0.0
Voulundgaard,2022-06-04,0.1358598273698262,0.0,0.0,0.0,0.17853198271659484
Voulundgaard,2022-06-05,0.2483397912589289,0.11744164989294857,0.03599111220287935,0.07192911140754554,0.07583499126652267
Voulundgaard,2022-06-20,0.4858868030151992,0.20833343555220327,0.04834140923110926,0.17278221319718867,0.14832050739974992
Voulundgaard,2022-08-31,0.1753111158021131,0.0,0.08890064046884213,0.023930444436775892,0.07940377558518989
Voulundgaard,2022-09-17,0.1772064882194155,0.10890944043187811,0.24042385299067887,0.25466188473358253,0.011015968985314905
Voulundgaard,2022-10-02,0.1845358363732854,0.12135349517689308,0.020093880469481802,0.13284315848510012,0.13006038861927763
Voulundgaard,2022-10-03,0.2631086556952797,0.11219993709648372,0.04395192244461418,0.12779800629208365,0.10806508331451696
Voulundgaard,2022-10-10,0.2006397188715863,0.08335925167009264,0.1079071824965869,0.05773938775903381,0.08962821465491497
Voulundgaard,2022-10-11,0.2755417532767332,0.1095123674232642,0.012534155790760717,0.05102525932781144,0.03687910170900442
Voulundgaard,2022-10-19,0.1832463084154923,0.03125487314890794,0.0,0.00788945256738575,0.03021650161839541
Voulundgaard,2023-03-03,0.0818486962123611,0.011871250694452749,0.0,0.0,0.020183673610774777
Voulundgaard,2023-04-20,0.0711120714795852,0.0,0.0,0.0,0.0
Voulundgaard,2023-04-21,0.0660154896470444,0.0,0.0,0.06635957742985436,0.0
Voulundgaard,2023-05-30,0.1254749362563472,0.0,0.0320521573206957,0.003587672742292635,0.0069943707266102466
Voulundgaard,2023-05-31,0.0,0.0,0.0,0.0,0.0
Voulundgaard,2023-06-07,0.2949223606101366,0.16144888134943358,0.0,0.0,0.03217124573432236
Voulundgaard,2023-06-08,0.1872812679657633,0.04197342412417764,0.028439863206755196,0.027194071363505695,0.02599572620151454
Voulundgaard,2023-07-09,0.513439774376941,0.37444680406406233,0.4136119737097549,0.3656539612926206,0.4063714413365787
Voulundgaard,2023-09-04,0.2802290295440511,0.11488148033229864,0.05261733133528477,0.14864582691243516,0.16076998899101472
Voulundgaard,2023-10-14,0.1082385695399427,0.030175105178230775,0.0,0.01869347200359838,0.21573407848153647
Klingenberg,2022-03-12,0.2920994230927491,0.0,0.0,0.0500351984732917,0.0
Klingenberg,2022-03-20,0.1178050925625684,0.07202690463982024,0.11977436438507268,0.12051911471045944,0.00026240079056474006
Klingenberg,2022-04-22,0.1470546642990301,0.05734750946753276,0.04257257798133885,0.12219780759502573,0.0
Klingenberg,2022-05-07,0.1156956783893802,0.03479217848477245,0.04930702509552848,0.02598794323626602,0.0
Klingenberg,2022-07-19,0.3647191230314344,0.27189648066740496,0.22043295337185068,0.26117436201697697,0.29246356468768997
Klingenberg,2022-11-15,0.1595892052054364,0.0,0.0878420218952507,0.03349264971901177,0.016419561346297653
Klingenberg,2022-12-25,0.091068265721687,0.0,0.0,0.0,0.0
Klingenberg,2023-05-19,0.3005245445312768,0.0,0.1859046336043848,0.0,0.0
Klingenberg,2023-05-27,0.3533363720995761,0.3484027105515353,0.15827904298940446,0.2369691376535786,0.2660080538931465
Klingenberg,2023-06-03,0.2634278219330456,0.272945884516702,0.0923383838087177,0.30400622543142125,0.21878491614195622
Klingenberg,2023-06-11,0.5149936867145164,0.5054379980525568,0.2598175668443546,0.4530524872111049,0.3495790403526747
Klingenberg,2023-08-14,0.3968585771083732,0.07013168313652143,0.020932680596505146,0.06959186261427792,0.27079585789893984
Klingenberg,2023-08-15,0.3018001809801239,0.1312998709398473,0.029162978679690005,0.25057574567077073,0.17491468546768282
Klingenberg,2023-09-07,0.2177132554400227,0.1449454494635758,0.1917472191708742,0.14379637044751448,0.15307104654581138
Klingenberg,2023-09-15,0.0941859676751613,0.0,0.0,0.12109235538742609,0.0
Klingenberg,2023-09-16,0.1101760511579077,0.03375787159425612,0.016793586711024048,0.07000558723779551,0.0
Klingenberg,2023-10-01,0.0,0.0,0.0,0.025134982433089762,0.0
Estrees-Mons,2022-02-11,0.1761575937146461,0.02544189778467787,0.0,0.0,0.017808740237755916
Estrees-Mons,2022-02-26,0.2455136687002622,0.17209478287102034,0.034265124661915,0.0942226606402659,0.08294530834160872
Estrees-Mons,2022-03-06,0.2214625331045601,0.03768211319126335,0.0,0.021359632550648544,0.0
Estrees-Mons,2022-03-22,0.2285886080552154,0.053919890722006904,0.0,0.040390203062522105,0.0855505717177369
